,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 11:31:38:285 AM,37606.070312,-49438.230469,5013.370117,0.0,0.0,0.0,0.0,0.0,0.0,-130.121002,0.0,0.0,-1301.0,0.0,0.0,0.0,true
May 21 2024 11:31:38:285 AM,37606.070312,-49438.230469,5013.370117,0.0,0.0,0.0,0.0,0.0,0.0,-130.121002,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:31:38:286 AM,37606.070312,-49438.230469,5013.370117,0.0,0.0,0.0,0.0,0.0,0.0,-130.121002,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:31:38:593 AM,37606.070312,-49438.230469,4994.649902,0.0,0.0,0.0,18.719002,0.0,0.0,-227.934006,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 21 2024 11:31:38:593 AM,37606.070312,-49438.230469,4994.649902,0.0,0.0,0.0,18.719002,0.0,0.0,-227.934006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:31:38:593 AM,37606.070312,-49438.230469,4994.649902,0.0,0.0,0.0,18.719002,0.0,0.0,-227.934006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:31:38:636 AM,37606.070312,-49438.230469,4982.649902,0.0,0.0,0.0,30.720001,0.0,0.0,-273.843018,0.0,0.0,-459.0,0.0,0.0,0.0,true
May 21 2024 11:31:38:732 AM,37606.070312,-49438.230469,4951.889648,0.0,0.0,0.0,61.484001,0.0,0.0,-366.469025,0.0,0.0,-926.0,0.0,0.0,0.0,true
May 21 2024 11:31:38:838 AM,37603.828125,-49438.628906,4918.839844,-2.0,0.0,1.0,94.537003,8.974,20.258001,-191.344009,90.0,203.0,1751.0,0.0,0.0,0.0,true
May 21 2024 11:31:38:933 AM,37602.578125,-49438.359375,4909.080078,-3.0,0.0,2.0,104.296005,2.823,7.543,-48.742001,-62.0,-127.0,1426.0,0.0,0.0,0.0,true
