,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:10:43:239 AM,37606.070312,-49438.230469,5013.629883,0.0,0.0,0.0,0.0,0.0,0.0,-128.367004,0.0,0.0,-1284.0,0.0,0.0,0.0,true
May 22 2024 10:10:43:239 AM,37606.070312,-49438.230469,5013.629883,0.0,0.0,0.0,0.0,0.0,0.0,-128.367004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:10:43:239 AM,37606.070312,-49438.230469,5013.629883,0.0,0.0,0.0,0.0,0.0,0.0,-128.367004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:10:43:650 AM,37606.070312,-49438.230469,4995.089844,0.0,0.0,0.0,18.543001,0.0,0.0,-226.182007,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 10:10:43:650 AM,37606.070312,-49438.230469,4995.089844,0.0,0.0,0.0,18.543001,0.0,0.0,-226.182007,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:10:43:651 AM,37606.070312,-49438.230469,4995.089844,0.0,0.0,0.0,18.543001,0.0,0.0,-226.182007,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:10:43:651 AM,37606.070312,-49438.230469,4995.089844,0.0,0.0,0.0,18.543001,0.0,0.0,-226.182007,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:10:43:750 AM,37606.070312,-49438.230469,4965.149902,0.0,0.0,0.0,48.484001,0.0,0.0,-329.129028,0.0,0.0,-1029.0,0.0,0.0,0.0,true
May 22 2024 10:10:43:853 AM,37604.878906,-49438.898438,4928.580078,-1.0,0.0,1.0,85.051003,21.098001,25.297001,-313.827026,211.0,253.0,153.0,0.0,0.0,0.0,true
May 22 2024 10:10:43:947 AM,37602.871094,-49438.480469,4911.859863,-3.0,0.0,2.0,101.771004,4.683,11.348001,-96.438004,-164.0,-139.0,2174.0,0.0,0.0,0.0,true
May 22 2024 10:10:44:54 AM,37602.429688,-49437.917969,4907.879883,-3.0,0.0,2.0,105.758003,-2.06,-0.701,-4.497,-67.0,-120.0,919.0,0.0,0.0,0.0,true
May 22 2024 10:10:44:149 AM,37602.507812,-49437.96875,4908.319824,-3.0,0.0,2.0,106.204002,0.153,2.016,8.64,22.0,27.0,131.0,0.0,0.0,0.0,true
May 22 2024 10:10:44:249 AM,37602.578125,-49438.058594,4909.319824,-3.0,0.0,2.0,107.202003,0.635,1.963,9.915001,5.0,-1.0,13.0,0.0,0.0,0.0,true
May 22 2024 10:10:44:357 AM,37602.609375,-49438.117188,4910.27002,-3.0,0.0,2.0,108.152008,0.583,1.492,7.655,-1.0,-5.0,-23.0,0.0,0.0,0.0,true
May 22 2024 10:10:44:453 AM,37602.648438,-49438.167969,4910.879883,-3.0,0.0,2.0,108.761002,0.436,0.938,5.166,-1.0,-6.0,-25.0,0.0,0.0,0.0,true
May 22 2024 10:10:44:888 AM,37602.667969,-49438.277344,4911.52002,-3.0,0.0,2.0,109.403008,0.219,-1.137,2.357,-2.0,-21.0,-28.0,0.0,0.0,0.0,true
May 22 2024 10:10:44:889 AM,37602.667969,-49438.277344,4911.52002,-3.0,0.0,2.0,109.403008,0.219,-1.137,2.357,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:10:44:889 AM,37602.667969,-49438.277344,4911.52002,-3.0,0.0,2.0,109.403008,0.219,-1.137,2.357,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:10:44:889 AM,37602.667969,-49438.277344,4911.52002,-3.0,0.0,2.0,109.403008,0.219,-1.137,2.357,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:10:44:947 AM,37602.679688,-49438.289062,4911.659668,-3.0,0.0,2.0,109.544006,0.15,-0.061,1.542,-1.0,11.0,-8.0,0.0,0.0,0.0,true
May 22 2024 10:10:45:49 AM,37602.667969,-49438.339844,4911.810059,-3.0,0.0,2.0,109.693008,0.121,-0.199,1.204,0.0,-1.0,-3.0,0.0,0.0,0.0,true
May 22 2024 10:10:45:155 AM,37602.667969,-49438.367188,4911.889648,-3.0,0.0,2.0,109.771004,0.074,-0.023,0.707,0.0,2.0,-5.0,-0.04,0.0,0.0,true
May 22 2024 10:10:45:253 AM,37602.667969,-49438.417969,4911.939941,-3.0,0.0,2.0,109.820007,0.018,-0.24,0.156,-1.0,-2.0,-6.0,-0.04,0.0,0.0,true
May 22 2024 10:10:45:351 AM,37602.667969,-49438.417969,4911.959961,-3.0,0.0,2.0,109.838005,0.029,-0.115,0.22,0.0,1.0,1.0,-0.04,0.0,0.0,true
May 22 2024 10:10:45:448 AM,37602.667969,-49438.417969,4911.97998,-3.0,0.0,2.0,109.866005,0.023,-0.052,0.28,0.0,1.0,1.0,-0.04,0.0,0.0,true
May 22 2024 10:10:45:559 AM,37602.667969,-49438.410156,4912.009766,-3.0,0.0,2.0,109.894005,0.023,-0.085,0.073,0.0,0.0,-2.0,-0.04,0.0,0.0,true
May 22 2024 10:10:45:654 AM,37602.667969,-49438.398438,4912.029785,-3.0,0.0,2.0,109.914001,0.035,-0.065,0.195,0.0,0.0,1.0,-0.04,0.0,0.0,true
May 22 2024 10:10:45:754 AM,37602.667969,-49438.398438,4912.049805,-3.0,0.0,2.0,109.932007,0.021,-0.034,0.257,0.0,0.0,1.0,-0.04,0.0,0.0,true
May 22 2024 10:10:45:849 AM,37602.667969,-49438.398438,4912.060059,-3.0,0.0,2.0,109.948006,0.018,-0.068,0.133,0.0,0.0,-1.0,-0.04,0.0,0.0,true
May 22 2024 10:10:45:958 AM,37602.667969,-49438.390625,4912.069824,-3.0,0.0,2.0,109.953003,0.018,-0.065,0.048,0.0,0.0,-1.0,-0.04,0.0,0.0,true
May 22 2024 10:10:46:57 AM,37602.667969,-49438.378906,4912.069824,-3.0,0.0,2.0,109.956009,0.01,-0.048,0.014,0.0,0.0,0.0,-0.04,0.0,0.0,true
May 22 2024 10:10:46:152 AM,37602.667969,-49438.378906,4912.069824,-3.0,0.0,2.0,109.956009,0.023,-0.051,0.112,0.0,0.0,1.0,-0.04,1.0,0.0,true
May 22 2024 10:10:46:248 AM,37602.777344,-49438.398438,4912.060059,-3.0,0.0,2.0,109.958008,3.25,-0.292,-0.163,32.0,-2.0,-3.0,-0.04,1.0,0.0,true
May 22 2024 10:10:46:346 AM,37603.859375,-49438.457031,4912.029785,-3.0,0.0,2.0,109.996002,16.488001,-0.488,-1.044,132.0,-2.0,-9.0,-0.04,1.0,0.0,true
May 22 2024 10:10:46:453 AM,37607.628906,-49438.550781,4911.859863,-3.0,0.0,2.0,110.166008,42.558002,-0.929,-2.445,261.0,-4.0,-14.0,-0.04,1.0,0.0,true
May 22 2024 10:10:46:547 AM,37614.230469,-49438.6875,4911.549805,-2.0,0.0,2.0,110.471008,86.938004,-1.473,-5.151,444.0,-5.0,-27.0,-0.04,1.0,0.0,true
