,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:13:22:743 AM,37606.070312,-49438.230469,5013.350098,0.0,0.0,0.0,0.0,0.0,0.0,-130.872009,0.0,0.0,-1309.0,0.0,0.0,0.0,true
May 22 2024 10:13:22:743 AM,37606.070312,-49438.230469,5013.350098,0.0,0.0,0.0,0.0,0.0,0.0,-130.872009,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:13:22:743 AM,37606.070312,-49438.230469,5013.350098,0.0,0.0,0.0,0.0,0.0,0.0,-130.872009,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:13:23:11 AM,37606.070312,-49438.230469,4994.560059,0.0,0.0,0.0,18.794001,0.0,0.0,-228.684006,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 10:13:23:11 AM,37606.070312,-49438.230469,4994.560059,0.0,0.0,0.0,18.794001,0.0,0.0,-228.684006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:13:23:11 AM,37606.070312,-49438.230469,4994.560059,0.0,0.0,0.0,18.794001,0.0,0.0,-228.684006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:13:23:113 AM,37606.070312,-49438.230469,4964.219727,0.0,0.0,0.0,49.130001,0.0,0.0,-331.984009,0.0,0.0,-1033.0,0.0,0.0,0.0,true
May 22 2024 10:13:23:217 AM,37604.628906,-49439.078125,4927.429688,-1.0,0.0,1.0,85.924004,22.191002,25.153002,-298.178009,222.0,252.0,338.0,0.0,0.0,0.0,true
May 22 2024 10:13:23:308 AM,37602.75,-49438.699219,4911.819824,-3.0,0.0,2.0,101.538002,4.536,10.572001,-95.512001,-177.0,-146.0,2027.0,0.0,0.0,0.0,true
May 22 2024 10:13:23:411 AM,37602.308594,-49438.167969,4907.879883,-3.0,0.0,2.0,105.478004,-2.214,-1.201,-5.404,-67.0,-118.0,901.0,-0.02,0.0,0.0,true
May 22 2024 10:13:23:506 AM,37602.390625,-49438.21875,4908.279785,-3.0,0.0,2.0,105.881004,0.138,1.789,8.429001,24.0,30.0,138.0,-0.02,0.0,0.0,true
May 22 2024 10:13:23:603 AM,37602.449219,-49438.289062,4909.25,-3.0,0.0,2.0,106.851006,0.666,2.022,9.934,5.0,2.0,15.0,-0.02,0.0,0.0,true
May 22 2024 10:13:23:713 AM,37602.488281,-49438.347656,4910.22998,-3.0,0.0,2.0,107.830002,0.613,1.596,7.727,-1.0,-4.0,-22.0,-0.02,0.0,0.0,true
May 22 2024 10:13:23:811 AM,37602.519531,-49438.398438,4910.859863,-3.0,0.0,2.0,108.465004,0.442,0.945,5.267,-2.0,-7.0,-25.0,-0.02,0.0,0.0,true
May 22 2024 10:13:23:912 AM,37602.539062,-49438.4375,4911.299805,-3.0,0.0,2.0,108.897003,0.318,0.635,3.61,-1.0,-3.0,-17.0,-0.02,1.0,0.0,true
May 22 2024 10:13:24:9 AM,37602.667969,-49438.488281,4911.569824,-3.0,0.0,2.0,109.168007,3.648,0.027,2.118,33.0,-6.0,-15.0,-1.02,1.0,0.0,true
May 22 2024 10:13:24:107 AM,37603.398438,-49438.570312,4911.719727,-3.0,0.0,2.0,109.320007,11.508,-0.728,0.687,79.0,-8.0,-14.0,-1.02,1.0,0.0,true
May 22 2024 10:13:24:206 AM,37606.1875,-49439.019531,4911.719727,-3.0,0.0,3.0,109.322006,35.470001,-3.843,-1.273,240.0,-31.0,-20.0,-1.02,1.0,0.0,true
May 22 2024 10:13:24:309 AM,37612.988281,-49440.75,4911.469727,-3.0,-1.0,3.0,109.566002,79.923004,-16.365002,-4.542,445.0,-125.0,-33.0,-1.02,1.0,0.0,true
May 22 2024 10:13:24:409 AM,37623.257812,-49444.449219,4910.939941,-2.0,-3.0,3.0,110.099007,116.011009,-34.276001,-7.472,361.0,-179.0,-29.0,-1.02,1.0,0.0,true
May 22 2024 10:13:24:505 AM,37636.71875,-49450.078125,4910.330078,-2.0,-5.0,4.0,110.707008,152.31601,-55.978004,-6.643,363.0,-217.0,8.0,-1.02,1.0,0.0,true
May 22 2024 10:13:24:615 AM,37655.46875,-49458.96875,4909.699707,-2.0,-9.0,4.0,111.342003,187.114014,-82.562004,-6.949,348.0,-266.0,-3.0,-1.02,1.0,0.0,true
May 22 2024 10:13:24:714 AM,37675.628906,-49468.898438,4909.060059,-1.0,-12.0,4.0,111.979004,225.66301,-99.303001,-7.900001,385.0,-167.0,-10.0,-0.02,1.0,0.0,true
May 22 2024 10:13:24:814 AM,37701.660156,-49478.597656,4908.120117,-1.0,-14.0,4.0,112.920006,274.08902,-95.558006,-10.202001,484.0,37.0,-23.0,-0.02,1.0,0.0,true
May 22 2024 10:13:24:910 AM,37730.71875,-49486.058594,4906.919922,-1.0,-14.0,3.0,114.114006,316.195007,-81.969002,-13.122001,421.0,136.0,-29.0,0.98,1.0,0.0,true
May 22 2024 10:13:25:12 AM,37766.019531,-49491.820312,4905.330078,-1.0,-13.0,3.0,115.710007,357.622009,-58.641003,-16.153,414.0,233.0,-30.0,0.98,1.0,0.0,true
May 22 2024 10:13:25:111 AM,37803.738281,-49493.929688,4903.459961,-1.0,-10.0,2.0,117.579002,392.68103,-23.383001,-19.675001,351.0,353.0,-35.0,0.98,1.0,0.0,true
May 22 2024 10:13:25:211 AM,37844.359375,-49491.277344,4901.319824,-1.0,-5.0,1.0,119.723007,419.321014,27.930002,-17.788,266.0,513.0,19.0,0.98,1.0,0.0,true
May 22 2024 10:13:25:309 AM,37885.578125,-49482.429688,4899.179688,-2.0,1.0,0.0,121.860008,436.183014,91.815002,-23.487001,169.0,639.0,-57.0,0.98,1.0,0.0,true
May 22 2024 10:13:25:405 AM,37929.339844,-49470.179688,4896.679688,-2.0,6.0,-1.0,124.361008,474.932037,123.705009,-28.597002,387.0,319.0,-51.0,-0.02,1.0,0.0,true
