,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
May 22 2024 11:16:40:416 AM,37606.070312,-49438.230469,5013.399902,0.0,0.0,0.0,0.0,0.0,0.0,-129.920013,0.0,0.0,-1299.0,-0.03,0.0,0.0,0.0,true
May 22 2024 11:16:40:417 AM,37606.070312,-49438.230469,5013.399902,0.0,0.0,0.0,0.0,0.0,0.0,-129.920013,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,true
May 22 2024 11:16:40:417 AM,37606.070312,-49438.230469,5013.399902,0.0,0.0,0.0,0.0,0.0,0.0,-129.920013,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,true
May 22 2024 11:16:40:924 AM,37606.070312,-49438.230469,4994.709961,0.0,0.0,0.0,18.698,0.0,0.0,-227.733017,0.0,0.0,-978.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:16:40:925 AM,37606.070312,-49438.230469,4994.709961,0.0,0.0,0.0,18.698,0.0,0.0,-227.733017,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:16:40:925 AM,37606.070312,-49438.230469,4994.709961,0.0,0.0,0.0,18.698,0.0,0.0,-227.733017,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:16:40:925 AM,37606.070312,-49438.230469,4994.709961,0.0,0.0,0.0,18.698,0.0,0.0,-227.733017,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:16:41:28 AM,37606.070312,-49438.230469,4963.629883,0.0,0.0,0.0,49.768002,0.0,0.0,-333.822021,0.0,0.0,-1061.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:16:41:133 AM,37604.710938,-49438.828125,4926.580078,-1.0,0.0,1.0,86.822006,24.021002,27.054001,-295.21402,240.0,271.0,386.0,-0.01,0.0,0.0,0.0,true
May 22 2024 11:16:41:235 AM,37602.808594,-49438.4375,4911.049805,-3.0,0.0,2.0,102.354004,4.135,10.445001,-83.937004,-199.0,-166.0,2113.0,-0.01,0.0,0.0,0.0,true
May 22 2024 11:16:41:330 AM,37602.46875,-49437.878906,4907.839844,-3.0,0.0,2.0,105.559006,-1.966,-0.258,-3.804,-61.0,-107.0,801.0,-0.01,0.0,0.0,0.0,true
May 22 2024 11:16:41:424 AM,37602.550781,-49437.929688,4908.310059,-3.0,0.0,2.0,106.029007,0.22,2.036,8.766001,22.0,23.0,126.0,-0.01,0.0,0.0,0.0,true
May 22 2024 11:16:41:530 AM,37602.609375,-49438.007812,4909.379883,-3.0,0.0,2.0,107.099007,0.668,2.001,9.874001,4.0,0.0,11.0,-0.01,0.0,0.0,0.0,true
May 22 2024 11:16:41:628 AM,37602.648438,-49438.070312,4910.259766,-3.0,0.0,2.0,107.971008,0.605,1.428,7.841001,-1.0,-6.0,-20.0,-0.01,0.0,0.0,0.0,true
May 22 2024 11:16:41:721 AM,37602.679688,-49438.117188,4910.870117,-3.0,0.0,2.0,108.581009,0.444,0.899,5.525,-2.0,-5.0,-23.0,-0.01,0.0,0.0,0.0,true
May 22 2024 11:16:41:829 AM,37602.699219,-49438.167969,4911.330078,-3.0,0.0,2.0,109.042007,0.306,0.405,3.277,-1.0,-5.0,-22.0,-0.01,0.0,0.0,0.0,true
May 22 2024 11:16:41:922 AM,37602.710938,-49438.21875,4911.589844,-3.0,0.0,2.0,109.305008,0.211,0.116,2.29,-1.0,-3.0,-10.0,-0.01,0.0,0.0,0.0,true
May 22 2024 11:16:42:31 AM,37602.71875,-49438.257812,4911.77002,-3.0,0.0,2.0,109.486008,0.121,0.068,1.366,-1.0,0.0,-9.0,-1.01,0.0,0.0,0.0,true
May 22 2024 11:16:42:126 AM,37602.710938,-49438.269531,4911.870117,-3.0,0.0,2.0,109.585007,0.084,0.086,0.735,0.0,0.0,-6.0,-1.02,0.0,0.0,0.0,true
May 22 2024 11:16:42:222 AM,37602.710938,-49438.277344,4911.899902,-3.0,0.0,2.0,109.617004,0.048,0.042,0.264,0.0,0.0,-5.0,-1.02,0.0,0.0,0.0,true
May 22 2024 11:16:42:323 AM,37602.710938,-49438.289062,4911.929688,-3.0,0.0,2.0,109.647003,0.058,-0.004,0.443,0.0,0.0,2.0,-1.02,0.0,0.0,0.0,true
May 22 2024 11:16:42:421 AM,37602.710938,-49438.289062,4911.969727,-3.0,0.0,2.0,109.683006,0.045,-0.018,0.38,0.0,0.0,-1.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:16:42:531 AM,37602.710938,-49438.289062,4912.0,-3.0,0.0,2.0,109.716003,0.026,-0.048,0.291,0.0,0.0,-1.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:16:42:625 AM,37602.710938,-49438.289062,4912.02002,-3.0,0.0,2.0,109.733002,0.026,-0.047,0.202,0.0,0.0,-1.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:16:42:730 AM,37602.710938,-49438.277344,4912.040039,-3.0,0.0,2.0,109.750008,0.033,-0.107,0.222,0.0,-1.0,0.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:16:42:829 AM,37602.699219,-49438.269531,4912.049805,-3.0,0.0,2.0,109.760002,0.032,-0.082,0.146,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
May 22 2024 11:16:42:924 AM,37602.699219,-49438.269531,4912.060059,-3.0,0.0,2.0,109.774002,0.03,-0.061,0.177,0.0,0.0,0.0,0.03,0.0,0.0,0.0,true
May 22 2024 11:16:43:30 AM,37602.699219,-49438.257812,4912.069824,-3.0,0.0,2.0,109.782005,0.022,-0.028,0.116,0.0,0.0,-1.0,0.03,0.0,0.0,0.0,true
May 22 2024 11:16:43:124 AM,37602.699219,-49438.257812,4912.069824,-3.0,0.0,2.0,109.787003,0.014,-0.068,0.131,0.0,0.0,0.0,0.01,0.0,0.0,0.0,true
May 22 2024 11:16:43:226 AM,37602.699219,-49438.257812,4912.080078,-3.0,0.0,2.0,109.792007,0.021,-0.058,0.081,0.0,0.0,-1.0,0.01,0.0,0.0,0.0,true
May 22 2024 11:16:43:320 AM,37602.699219,-49438.25,4912.080078,-3.0,0.0,2.0,109.795006,0.016,-0.061,0.103,0.0,0.0,0.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:16:43:419 AM,37602.699219,-49438.25,4912.080078,-3.0,0.0,2.0,109.798004,0.014,-0.02,-0.014,0.0,0.0,-1.0,0.04,0.0,0.0,0.0,true
